UML ID;Group Name;Parent Company;Mill Name;RSPO Status;RSPO type;Date RSPO Certification Status;Latitude;Longitude;GPS coordinates;ISO;Country;Province;District;Confidence level;Alternative name
PO1000003902;SUNGAI KERANG DEVELOPMENT SDN BHD;SUNGAI KERANG DEVELOPMENT SDN BHD;SUNGAI KERANG;Not RSPO Certified;;13/01/2026;4.403.481;100.835.955;4.403481, 100.835955;MYS;Malaysia;Perak;Perak Tengah;1-Fully Verified;
PO1000003903;KUMPULAN PERLADANGAN PKINK BHD;SYARIKAT LADANG SUNGAI TERAH SDN BHD;KILANG SAWIT SUNGAI TERAH;Not RSPO Certified;;13/01/2026;4.977.872;101.955.083;4.977872, 101.955083;MYS;Malaysia;Kelantan;Gua Musang;1-Fully Verified;
PO1000003905;NGAN & NGAN HOLDINGS SDN BHD;SYARIKAT CAHAYA MUDA PERAK (OIL MILL) SDN BHD;CAHAYA MUDA PERAK;Not RSPO Certified;;13/01/2026;4.160.967;101.282.921;4.160967, 101.282921;MYS;Malaysia;Perak;Batang Padang;1-Fully Verified;
PO1000003906;SYARIKAT PELADANG & PERUSAHAAN MINYAK SDN BHD;SYARIKAT PELADANG & PERUSAHAAN MINYAK SDN BHD;SYARIKAT PELADANG & PERUSAHAAN MINYAK;Not RSPO Certified;;13/01/2026;3.979.658;100.990.561;3.979658, 100.990561;MYS;Malaysia;Perak;Hilir Perak;1-Fully Verified;
PO1000003907;SYNN HENG TRADING COMPANY SDN BHD;SYNN PALM OIL SDN BHD;SYNN;Not RSPO Certified;;13/01/2026;4.831.397;100.698.407;4.831397, 100.698407;MYS;Malaysia;Perak;Larut and Matang;1-Fully Verified;
PO1000003908;TA ANN HOLDINGS BHD;MANIS OIL SDN BHD;MANIS;Not RSPO Certified;;13/01/2026;2.131.184;111.893.076;2.131184, 111.893076;MYS;Malaysia;Sarawak;Sibu;1-Fully Verified;
PO1000003909;TACLICO COMPANY SDN BHD;TACLICO COMPANY SDN BHD;TACLICO;Not RSPO Certified;;13/01/2026;5.507.567;100.599.592;5.507567, 100.599592;MYS;Malaysia;Kedah;Kulim;1-Fully Verified;
PO1000003910;TAMACO PLANTATION SDN BHD;TAMACO OIL MILL SDN BHD;TAMACO 1;Not RSPO Certified;;13/01/2026;5.244;118.326;5.244, 118.326;MYS;Malaysia;Sabah;Lahad Datu;1-Fully Verified;
PO1000003911;TAMACO PLANTATION SDN BHD;TAMACO OIL MILL SDN BHD;TAMACO 2;Not RSPO Certified;;13/01/2026;5.154.061;118.228.475;5.154061, 118.228475;MYS;Malaysia;Sabah;Lahad Datu;1-Fully Verified;
PO1000003912;TACLICO COMPANY SDN BHD;TACLICO COMPANY SDN BHD;TANJUNG PANJANG;Not RSPO Certified;;13/01/2026;5.644.344;118.333.054;5.644344, 118.333054;MYS;Malaysia;Sabah;Kinabatangan;1-Fully Verified;
