UML ID;Group Name;Parent Company;Mill Name;RSPO Status;RSPO type;Date RSPO Certification Status;Latitude;Longitude;GPS coordinates;ISO;Country;Province;District;Confidence level;Alternative name
PO1000000017;AGROPALMA;AGROPALMA;CPA;Not RSPO Certified;;13/01/2026;-2.253.539;-4.858.567;-2.253539, -48.58567;BRA;Brazil;Pará;Acará;1-Fully Verified;
PO1000000019;KULIM (MALAYSIA) BERHAD;EPA MANAGEMENT SDN BHD;SEDENAK;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;1.730.858;103.538.323;1.730858, 103.538323;MYS;Malaysia;Johor;Kulaijaya;1-Fully Verified;
PO1000000020;NBPOL;NEW BRITAIN PALM OIL;MOSA;RSPO Certified;RSPO Certified, IP;13/01/2026;-56.225;15.023.735;-5.6225, 150.23735;PNG;Papua New Guinea;West New Britain;Talasea;1-Fully Verified;
PO1000000021;ROYAL GOLDEN EAGLE;INTI INDOSAWIT SUBUR;BUATAN I;RSPO Certified;RSPO Certified, MB;13/01/2026;0.4344444;101.825;0.4344444, 101.825;IDN;Indonesia;Riau;Siak;2-High Confidence;
PO1000000052;IOI CORPORATION;PAMOL ESTATES (SABAH) SDN BHD;PAMOL SABAH;RSPO Certified;RSPO Certified, IP;13/01/2026;6.002.431;117.398.389;6.002431, 117.398389;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000053;SIPEF;HARGY OIL PALM LTD;HARGY MILL;RSPO Certified;RSPO Certified, IP;13/01/2026;-5.311.111;15.101.097;-5.311111, 151.01097;PNG;Papua New Guinea;West New Britain;Talasea;1-Fully Verified;
PO1000000054;MUSIM MAS;MUSIM MAS HOLDINGS PTE LTD;BATANG KULIM;RSPO Certified;RSPO Certified, IP;13/01/2026;0.077043;102.030.838;0.077043, 102.030838;IDN;Indonesia;Riau;Pelalawan;1-Fully Verified;
PO1000000058;CARGILL;HINDOLI;SUNGAI LILIN;RSPO Certified;RSPO Certified, IP;13/01/2026;-2.612.778;104.128.242;-2.612778, 104.128242;IDN;Indonesia;Sumatera Selatan;Musi Banyuasin;2-High Confidence;
PO1000000063;SIME DARBY;SIME DARBY PLANTATION BHD;BINUANG (SOU 28);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;4.704.457;118.060.186;4.704457, 118.060186;MYS;Malaysia;Sabah;Kunak;1-Fully Verified;
PO1000000064;SIME DARBY;SIME DARBY PLANTATION BHD;MEROTAI (SOU 30);RSPO Certified;RSPO Certified, MB;13/01/2026;4.369.347;117.832.905;4.369347, 117.832905;MYS;Malaysia;Sabah;Tawau;1-Fully Verified;
PO1000000065;SIME DARBY;SIME DARBY PLANTATION BHD;SANDAKAN BAY (SOU 26);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;5.641.362;118.166.868;5.641362, 118.166868;MYS;Malaysia;Sabah;Sandakan;1-Fully Verified;
PO1000000066;WILMAR GROUP;SABAHMAS PLANTATION SDN BHD;SABAHMAS;RSPO Certified;RSPO Certified, MB;13/01/2026;5.179.162;118.405.246;5.179162, 118.405246;MYS;Malaysia;Sabah;Lahad Datu;1-Fully Verified;
PO1000000091;WILMAR GROUP;SAREMAS SDN BHD;SAREMAS 1;RSPO Certified;RSPO Certified, MB;13/01/2026;3.524.921;113.744.412;3.524921, 113.744412;MYS;Malaysia;Sarawak;Miri;1-Fully Verified;
PO1000000092;MUSIM MAS;AGRO WIRATAMA;AGROWIRATAMA;RSPO Certified;RSPO Certified, IP;13/01/2026;0.198958;99.626.589;0.198958, 99.626589;IDN;Indonesia;Sumatera Barat;Pasaman Barat;1-Fully Verified;
PO1000000093;WILMAR GROUP;SAREMAS SDN BHD;SAREMAS 2;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;3.450.453;113.765.561;3.450453, 113.765561;MYS;Malaysia;Sarawak;Miri;1-Fully Verified;
PO1000000094;IOI CORPORATION;IOI CORPORATION BHD;GOMALI;RSPO Certified;RSPO Certified, IP;13/01/2026;2.611.826;102.678.656;2.611826, 102.678656;MYS;Malaysia;Johor;Segamat;1-Fully Verified;
PO1000000095;SIPEF;EASTERN SUMATERA INDONESIA;BUKIT MARADJA;RSPO Certified;RSPO Certified, IP;13/01/2026;3.012.294;99.235.572;3.012294, 99.235572;IDN;Indonesia;Sumatera Utara;Simalungun;1-Fully Verified;
PO1000000097;SIME DARBY;SIME DARBY PLANTATION BHD;EAST (SOU 8);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;2.883.333;101.436.136;2.883333, 101.436136;MYS;Malaysia;Selangor;Kuala Langat;1-Fully Verified;
PO1000000098;SIME DARBY;SIME DARBY PLANTATION BHD;TANAH MERAH (SOU 14);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;2.655.278;101.792.778;2.655278, 101.792778;MYS;Malaysia;Negeri Sembilan;Port Dickson;1-Fully Verified;
PO1000000099;SIPEF;TOLAN TIGA INDONESIA;PERLABIAN;RSPO Certified;RSPO Certified, IP;13/01/2026;2.061.383;100.081.222;2.061383, 100.081222;IDN;Indonesia;Sumatera Utara;Labuhanbatu Selatan;1-Fully Verified;
PO1000000101;SIME DARBY;SIME DARBY PLANTATION BHD;SEGALIUD (SOU 25);Not RSPO Certified;;13/01/2026;5.726.001;117.754.574;5.726001, 117.754574;MYS;Malaysia;Sabah;Sandakan;1-Fully Verified;
PO1000000102;NBPOL;RAMU AGRI INDUSTRIES;GUSAP;RSPO Certified;RSPO Certified, IP;13/01/2026;-6.073.194;145.984.583;-6.073194, 145.984583;PNG;Papua New Guinea;Morobe;Markham;1-Fully Verified;
PO1000000103;SIME DARBY;SIME DARBY PLANTATION BHD;WEST (SOU 9);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;2.905;101.361.306;2.905, 101.361306;MYS;Malaysia;Selangor;Kuala Langat;2-High Confidence;
PO1000000104;SIME DARBY;SIME DARBY PLANTATION BHD;SUNGAI DINGIN (SOU 1);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;539.432;10.071.117;5.39432, 100.71117;MYS;Malaysia;Kedah;Kulim;1-Fully Verified;
PO1000000105;SIPEF;HARGY OIL PALM LTD;NAVO MILL;Not RSPO Certified;;13/01/2026;-5.094.109;151.224.494;-5.094109, 151.224494;PNG;Papua New Guinea;West New Britain;Talasea;1-Fully Verified;
PO1000000106;MUSIM MAS;SUKAJADI SAWIT MEKAR;SUKAJADI SAWIT MEKAR 1;RSPO Certified;RSPO Certified, IP;13/01/2026;-2.381.111;112.539.722;-2.381111, 112.539722;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
PO1000000107;SIME DARBY;SIME INDO AGRO;BUKIT AJONG;RSPO Certified;RSPO Certified, MB;13/01/2026;0.268939;110.482.802;0.268939, 110.482802;IDN;Indonesia;Kalimantan Barat;Sanggau;1-Fully Verified;
PO1000000109;IOI CORPORATION;IOI CORPORATION BHD;PAMOL KLUANG;RSPO Certified;RSPO Certified, IP;13/01/2026;2.110.445;103.392.307;2.110445, 103.392307;MYS;Malaysia;Johor;Keluang;1-Fully Verified;
PO1000000110;IOI CORPORATION;IOI CORPORATION BHD;SAKILAN;RSPO Certified;RSPO Certified, IP;13/01/2026;5.839.281;1.178.437;5.839281, 117.8437;MYS;Malaysia;Sabah;Sandakan;1-Fully Verified;
PO1000000114;SIME DARBY;SIME DARBY PLANTATION BHD;YONG PENG (SOU 19A);Not RSPO Certified;;13/01/2026;2.058.808;103.148.394;2.058808, 103.148394;MYS;Malaysia;Johor;Batu Pahat;2-High Confidence;
PO1000000118;IOI CORPORATION;IOI CORPORATION BHD;BATURONG;RSPO Certified;RSPO Certified, IP;13/01/2026;47.553;1.180.886;4.7553, 118.0886;MYS;Malaysia;Sabah;Kunak;2-High Confidence;
PO1000000120;IOI CORPORATION;IOI CORPORATION BHD;BUKIT LEELAU;RSPO Certified;RSPO Certified, IP;13/01/2026;330.273;103.137.889;3.30273, 103.137889;MYS;Malaysia;Pahang;Pekan;1-Fully Verified;
PO1000000122;IOI CORPORATION;IOI CORPORATION BHD;MAYVIN;RSPO Certified;RSPO Certified, IP;13/01/2026;55.553;117.226.439;5.5553, 117.226439;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000123;DAABON GROUP;C.I. TEQUENDAMA S.A.S.;EXTRACTORA TEQUENDAMA;Not RSPO Certified;;13/01/2026;105.485.472;-74.181.286;10.5485472, -74.181286;COL;Colombia;Magdalena;Aracataca;1-Fully Verified;
PO1000000128;JC CHANG (PTE) LTD;CAROTINO SDN BHD;CAROTINO;RSPO Certified;RSPO Certified, IP;13/01/2026;3.816.627;102.818.213;3.816627, 102.818213;MYS;Malaysia;Pahang;Kuantan;1-Fully Verified;
PO1000000130;WILMAR GROUP;SAPI PLANTATION SDN BHD;TERUSAN;RSPO Certified;RSPO Certified, MB;13/01/2026;5.831.514;117.340.459;5.831514, 117.340459;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000131;NBPOL;GUADALCANAL PLAINS PALM OIL LTD;TERERE;RSPO Certified;RSPO Certified, IP;13/01/2026;-94.427;1.602.187;-9.4427, 160.2187;SLB;Solomon Islands;Guadalcanal;East Ghaobata;1-Fully Verified;
PO1000000134;MUSIM MAS;SUKAJADI SAWIT MEKAR;SUKAJADI SAWIT MEKAR 2;RSPO Certified;RSPO Certified, IP;13/01/2026;-237.025;1.126.026.111;-2.37025, 112.6026111;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
PO1000000137;WILMAR GROUP;SAPI PLANTATION SDN BHD;SAPI;RSPO Certified;RSPO Certified, MB;13/01/2026;5.733.519;117.387.404;5.733519, 117.387404;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000139;WILMAR GROUP;REKA HALUS SDN BHD;REKA HALUS;RSPO Certified;RSPO Certified, MB;13/01/2026;5.766.708;117.463.737;5.766708, 117.463737;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000143;REA HOLDINGS;REA KALTIM;PERDANA PALM OIL MILL;RSPO Certified;RSPO Certified, MB;13/01/2026;0.25854;116.149.918;0.25854, 116.149918;IDN;Indonesia;Kalimantan Timur;Kutai Kartanegara;1-Fully Verified;REA KALTIM PLANTATION PERDANA
PO1000000144;WILMAR GROUP;MUSTIKA SEMBULUH;MUSTIKA SEMBULUH 1;RSPO Certified;RSPO Certified, MB;13/01/2026;-25.905;112.511.283;-2.5905, 112.511283;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
PO1000000146;WILMAR GROUP;KERRY SAWIT INDONESIA;KERRY SAWIT INDONESIA 1;RSPO Certified;RSPO Certified, MB;13/01/2026;-2.784.633;112.509.533;-2.784633, 112.509533;IDN;Indonesia;Kalimantan Tengah;Seruyan;1-Fully Verified;
PO1000000148;ROYAL GOLDEN EAGLE;INTI INDOSAWIT SUBUR;UKUI I;RSPO Certified;RSPO Certified, MB;13/01/2026;-0.2232;102.095;-0.2232, 102.095;IDN;Indonesia;Riau;Pelalawan;1-Fully Verified;
PO1000000155;SIME DARBY;SIME DARBY PLANTATION BHD;BUKIT KERAYONG (SOU 7);Not RSPO Certified;;13/01/2026;3.186.861;101.374.889;3.186861, 101.374889;MYS;Malaysia;Selangor;Kuala Selangor;2-High Confidence;
PO1000000156;SIME DARBY;SIME DARBY PLANTATION BHD;JABOR (SOU 12);RSPO Certified;RSPO Certified, MB;13/01/2026;3.960.833;103.308.889;3.960833, 103.308889;MYS;Malaysia;Trengganu;Kemaman;1-Fully Verified;
PO1000000157;SIME DARBY;SIME DARBY PLANTATION BHD;TENNAMARAM (SOU 6);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;3.395.639;101.417.614;3.395639, 101.417614;MYS;Malaysia;Selangor;Kuala Selangor;1-Fully Verified;
PO1000000169;WILMAR GROUP;SABAHMAS PLANTATION SDN BHD;RIBUBONUS;RSPO Certified;RSPO Certified, MB;13/01/2026;5.686.858;11.709.226;5.686858, 117.09226;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000170;MUSIM MAS;MAJU ANEKA SAWIT;MAJU ANEKA SAWIT;RSPO Certified;RSPO Certified, IP;13/01/2026;-2.478.167;112.647.611;-2.478167, 112.647611;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
PO1000000180;MUSIM MAS;BERKAT SAWIT SEJATI;BERKAT SAWIT SEJATI;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;-23.192.778;1.037.116.389;-2.3192778, 103.7116389;IDN;Indonesia;Sumatera Selatan;Musi Banyuasin;1-Fully Verified;
PO1000000182;SIME DARBY;SIME DARBY PLANTATION BHD;GIRAM (SOU 29);RSPO Certified;RSPO Certified, MB;13/01/2026;4.586.785;118.193.914;4.586785, 118.193914;MYS;Malaysia;Sabah;Tawau;1-Fully Verified;
PO1000000183;SIME DARBY;SIME DARBY PLANTATION BHD;GUNUNG MAS (SOU 21);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;2.243.544;103.137.941;2.243544, 103.137941;MYS;Malaysia;Johor;Segamat;1-Fully Verified;
PO1000000184;BAKRIE;BAKRIE SUMATERA PLANTATIONS;UNIT KISARAN;Not RSPO Certified;;13/01/2026;304.075;99.581.444;3.04075, 99.581444;IDN;Indonesia;Sumatera Utara;Asahan;1-Fully Verified;
PO1000000185;HAP SENG PLANTATIONS HOLDINGS BERHAD;HAP SENG PLANTATIONS (RIVER ESTATES) SDN BHD;BUKIT MAS;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;53.373.003;11.847.364;5.3373003, 118.47364;MYS;Malaysia;Sabah;Kinabatangan;1-Fully Verified;
PO1000000187;SIME DARBY;SIME DARBY PLANTATION BHD;DIAMOND JUBILEE (SOU 18);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;2.324.247;102.482.843;2.324247, 102.482843;MYS;Malaysia;Melaka;Jasin;1-Fully Verified;
PO1000000189;SIME DARBY;SIME DARBY PLANTATION BHD;NORDANAL (SOU 19);Not RSPO Certified;;13/01/2026;2.183.333;102.733.333;2.183333, 102.733333;MYS;Malaysia;Johor;Muar;1-Fully Verified;
PO1000000190;SIME DARBY;SIME DARBY PLANTATION BHD;CHAAH (SOU 20);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;2.148.725;102.973.994;2.148725, 102.973994;MYS;Malaysia;Johor;Batu Pahat;1-Fully Verified;
PO1000000191;SIME DARBY;SIME DARBY PLANTATION BHD;ELPHIL (SOU 3);RSPO Certified;RSPO Certified, MB;13/01/2026;489.058;101.093.096;4.89058, 101.093096;MYS;Malaysia;Perak;Kuala Kangsar;1-Fully Verified;
PO1000000192;SIME DARBY;SIME DARBY PLANTATION BHD;BUKIT PUTERI (SOU 10);RSPO Certified;RSPO Certified, MB;13/01/2026;4.202.694;101.862.639;4.202694, 101.862639;MYS;Malaysia;Pahang;Lipis;1-Fully Verified;
PO1000000193;SIME DARBY;SIME DARBY PLANTATION BHD;SERI INTAN (SOU 5);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;3.969.228;100.985.558;3.969228, 100.985558;MYS;Malaysia;Perak;Hilir Perak;1-Fully Verified;
PO1000000194;SIME DARBY;SIME DARBY PLANTATION BHD;BUKIT BENUT (SOU 22);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;1.931.143;103.347.365;1.931143, 103.347365;MYS;Malaysia;Johor;Keluang;1-Fully Verified;
PO1000000195;SIME DARBY;SIME DARBY PLANTATION BHD;SELABA (SOU 5);RSPO Certified;RSPO Certified, MB;13/01/2026;39.889.722;101.081.278;3.9889722, 101.081278;MYS;Malaysia;Perak;Hilir Perak;1-Fully Verified;
PO1000000198;WILMAR GROUP;SRI KAMUSAN SDN BHD;SRI KAMUSAN;RSPO Certified;RSPO Certified, MB;13/01/2026;6.203.802;117.291.189;6.203802, 117.291189;MYS;Malaysia;Sabah;Beluran;1-Fully Verified;
PO1000000199;IOI CORPORATION;SYARIKAT PUKIN LADANG KELAPA SAWIT SDN BHD;PUKIN;RSPO Certified;RSPO Certified, IP;13/01/2026;272.235;102.911;2.72235, 102.911;MYS;Malaysia;Pahang;Rompin;1-Fully Verified;
PO1000000201;KUALA LUMPUR KEPONG (KLK);KUALA LUMPUR KEPONG BHD;KEKAYAAN PALM OIL MILL;RSPO Certified;RSPO Certified, IP;13/01/2026;2.204.546;103.270.394;2.204546, 103.270394;MYS;Malaysia;Johor;Keluang;1-Fully Verified;
PO1000000202;NBPOL;NEW BRITAIN PALM OIL;POLIAMBA;RSPO Certified;RSPO Certified, IP;13/01/2026;-2.874.136;151.275.933;-2.874136, 151.275933;PNG;Papua New Guinea;New Ireland;Kavieng;1-Fully Verified;
PO1000000223;MRICOP;MONG RETHTHY INVESTMENT CAMBODIA OIL PALM CO., LTD;ANLONG KROPEU PALM OIL MILL;Not RSPO Certified;;13/01/2026;10.959.694;103.907.833;10.959694, 103.907833;KHM;Cambodia;Kaôh Kong;Kampong Seila;1-Fully Verified;
PO1000000227;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;SEMENCHU;Not RSPO Certified;;13/01/2026;1.578.283;104.104.929;1.578283, 104.104929;MYS;Malaysia;Johor;Kota Tinggi;1-Fully Verified;
PO1000000234;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;WA HA;RSPO Certified;RSPO Certified, MB;13/01/2026;1.792.735;104.076.218;1.792735, 104.076218;MYS;Malaysia;Johor;Kota Tinggi;1-Fully Verified;
PO1000000235;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;LOK HENG;Not RSPO Certified;;13/01/2026;1.720.542;104.119.997;1.720542, 104.119997;MYS;Malaysia;Johor;Kota Tinggi;1-Fully Verified;
PO1000000236;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;ADELA;RSPO Certified;RSPO Certified, MB;13/01/2026;1.552.768;1.041.873;1.552768, 104.1873;MYS;Malaysia;Johor;Kota Tinggi;1-Fully Verified;
PO1000000238;UNITED PLANTATIONS;UNITED PLANTATIONS BHD;JENDARATA;Not RSPO Certified;;13/01/2026;3.853.889;100.968.333;3.853889, 100.968333;MYS;Malaysia;Perak;Hilir Perak;1-Fully Verified;
PO1000000240;UNITED PLANTATIONS;UNITED PLANTATIONS BHD;ULU BASIR;RSPO Certified;RSPO Certified, IP;13/01/2026;3.724.444;101.255.833;3.724444, 101.255833;MYS;Malaysia;Perak;Batang Padang;1-Fully Verified;
PO1000000242;UNITED PLANTATIONS;UNITED PLANTATIONS BHD;ULU BERNAM OPTIMILL ;RSPO Certified;RSPO Certified, IP;13/01/2026;376.667;10.121.667;3.76667, 101.21667;MYS;Malaysia;Perak;Hilir Perak;1-Fully Verified;
PO1000000243;UNITED PLANTATIONS;UNITED INTERNATIONAL ENTERPRISES (M) SDN BHD;UIE;RSPO Certified;RSPO Certified, IP;13/01/2026;4.443.889;100.722.778;4.443889, 100.722778;MYS;Malaysia;Perak;Manjung;1-Fully Verified;
PO1000000254;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;KOTA GELANGGI;RSPO Certified;RSPO Certified, MB;13/01/2026;3.921.733;102.489.533;3.921733, 102.489533;MYS;Malaysia;Pahang;Jerantut;1-Fully Verified;
PO1000000255;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;LEPAR UTARA 6;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;3.970.817;102.691.667;3.970817, 102.691667;MYS;Malaysia;Pahang;Jerantut;1-Fully Verified;
PO1000000261;KUALA LUMPUR KEPONG (KLK);KL-KEPONG (SABAH) SDN BHD;BORNION;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;5.609;1.177.899;5.609, 117.7899;MYS;Malaysia;Sabah;Kinabatangan;1-Fully Verified;
PO1000000262;KUALA LUMPUR KEPONG (KLK);KL-KEPONG (SABAH) SDN BHD;RIMMER;RSPO Certified;RSPO Certified, IP;13/01/2026;50.193;1.185.715;5.0193, 118.5715;MYS;Malaysia;Sabah;Lahad Datu;1-Fully Verified;
PO1000000263;KUALA LUMPUR KEPONG (KLK);KL-KEPONG (SABAH) SDN BHD;LUNGMANIS;Not RSPO Certified;;13/01/2026;508.395;11.858.825;5.08395, 118.58825;MYS;Malaysia;Sabah;Lahad Datu;1-Fully Verified;
PO1000000272;FGV HOLDINGS BERHAD;FGV PALM INDUSTRIES SDN BHD;LEPAR UTARA 4;Not RSPO Certified;;13/01/2026;3.873.063;102.816.263;3.873063, 102.816263;MYS;Malaysia;Pahang;Kuantan;1-Fully Verified;
PO1000000279;ROYAL GOLDEN EAGLE;INTI INDOSAWIT SUBUR;MUARA BULIAN;RSPO Certified;RSPO Certified, MB;13/01/2026;-15.851;103.201.217;-1.5851, 103.201217;IDN;Indonesia;Jambi;Batang Hari;1-Fully Verified;
PO1000000280;KUALA LUMPUR KEPONG (KLK);KUALA LUMPUR KEPONG BHD;JERAM PADANG;RSPO Certified;RSPO Certified, IP;13/01/2026;2.735.111;1.024.085;2.735111, 102.4085;MYS;Malaysia;Negeri Sembilan;Jempol;1-Fully Verified;
PO1000000283;MP EVANS;PANGKATAN INDONESIA;PANGKATAN;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;210.305;9.994.766;2.10305, 99.94766;IDN;Indonesia;Sumatera Utara;Labuhanbatu;1-Fully Verified;
PO1000000284;SAMPOERNA AGRO;AEK TARUM;BELIDA;RSPO Certified;RSPO Certified, MB;13/01/2026;-3.836.633;104.969.517;-3.836633, 104.969517;IDN;Indonesia;Sumatera Selatan;Ogan Komering Ilir;1-Fully Verified;
PO1000000286;MUSIM MAS;UNGGUL LESTARI;UNGGUL LESTARI;RSPO Certified;RSPO Certified, IP;13/01/2026;-15.958.444;112.598.831;-1.5958444, 112.598831;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
PO1000000294;SIME DARBY;SIME DARBY PLANTATION BHD;FLEMINGTON (SOU 4);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;3.928.056;100.857.222;3.928056, 100.857222;MYS;Malaysia;Perak;Hilir Perak;1-Fully Verified;
PO1000000295;SIME DARBY;SIME DARBY PLANTATION BHD;KERDAU (SOU 11);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;3.569.444;102.278.333;3.569444, 102.278333;MYS;Malaysia;Pahang;Temerloh;1-Fully Verified;
PO1000000296;SIME DARBY;SIME DARBY PLANTATION BHD;KOK FOH (SOU 16);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;2.784.667;102.504.167;2.784667, 102.504167;MYS;Malaysia;Negeri Sembilan;Jempol;1-Fully Verified;
PO1000000297;SIME DARBY;SIME DARBY PLANTATION BHD;LABU (SOU 13);Not RSPO Certified;;13/01/2026;2.748.889;1.018.045;2.748889, 101.8045;MYS;Malaysia;Negeri Sembilan;Seremban;1-Fully Verified;
PO1000000298;SIME DARBY;SIME DARBY PLANTATION BHD;SUA BETONG (SOU 15);Not RSPO Certified;;13/01/2026;252.833;101.895.278;2.52833, 101.895278;MYS;Malaysia;Negeri Sembilan;Port Dickson;1-Fully Verified;
PO1000000300;SIME DARBY;SIME DARBY PLANTATION BHD;MELALAP (SOU 27);RSPO Certified;RSPO Certified, MB;13/01/2026;5.230.789;115.986.263;5.230789, 115.986263;MYS;Malaysia;Sabah;Tenom;1-Fully Verified;
PO1000000301;SIME DARBY;SIME DARBY PLANTATION BHD;HADAPAN (SOU 24);RSPO Certified;RSPO Certified, MB;13/01/2026;176.216;103.448.669;1.76216, 103.448669;MYS;Malaysia;Johor;Kulaijaya;1-Fully Verified;
PO1000000302;SIME DARBY;SIME DARBY PLANTATION BHD;CHERSONESE (SOU 2);RSPO Certified;RSPO Certified, MB;13/01/2026;4.978.457;100.461.902;4.978457, 100.461902;MYS;Malaysia;Perak;Kerian;1-Fully Verified;
PO1000000303;SIME DARBY;SIME DARBY PLANTATION BHD;PEKAKA (SOU 34);Not RSPO Certified;;13/01/2026;3.461.379;113.654.176;3.461379, 113.654176;MYS;Malaysia;Sarawak;Miri;1-Fully Verified;
PO1000000304;SIME DARBY;SIME DARBY PLANTATION BHD;LAVANG (SOU 31);RSPO Certified;RSPO Certified, IP;13/01/2026;34.283.333;11.360.028;3.4283333, 113.60028;MYS;Malaysia;Sarawak;Bintulu;1-Fully Verified;
PO1000000305;SIME DARBY;SIME DARBY PLANTATION BHD;RAJAWALI (SOU 32);RSPO Certified;RSPO Certified, IP;13/01/2026;3.372.505;113.400.597;3.372505, 113.400597;MYS;Malaysia;Sarawak;Bintulu;2-High Confidence;
PO1000000306;SIME DARBY;SIME DARBY PLANTATION BHD;DERAWAN (SOU 33);RSPO Certified;RSPO Certified, MB;13/01/2026;3.390.203;113.345.417;3.390203, 113.345417;MYS;Malaysia;Sarawak;Bintulu;1-Fully Verified;
PO1000000307;SIME DARBY;SIME DARBY PLANTATION BHD;ULU REMIS (SOU 23);RSPO Certified;RSPO Certified, IP, MB;13/01/2026;1.834.444;1.034.625;1.834444, 103.4625;MYS;Malaysia;Johor;Keluang;1-Fully Verified;
PO1000000312;AGRIVAR;AGRIVAR;AGRIVAR BONOUA;Not RSPO Certified;;13/01/2026;5.281.733;-35.282;5.281733, -3.5282;CIV;Côte d'Ivoire;Comoé;Sud Comoé;1-Fully Verified;
PO1000000314;SIME DARBY;TEGUH SEMPURNA;PEMANTANG;RSPO Certified;RSPO Certified, IP;13/01/2026;-2.148.333;112.292.778;-2.148333, 112.292778;IDN;Indonesia;Kalimantan Tengah;Seruyan;1-Fully Verified;
PO1000000315;SIME DARBY;BAHARI GEMBIRA RIA;LADANG PANJANG;RSPO Certified;RSPO Certified, MB;13/01/2026;-1.791.666;103.791.388;-1.791666, 103.791388;IDN;Indonesia;Jambi;Muaro Jambi;1-Fully Verified;
PO1000000316;SIME DARBY;BINA SAINS CEMERLANG;SUNGAI PINANG;RSPO Certified;RSPO Certified, MB;13/01/2026;-2.985.722;103.406.028;-2.985722, 103.406028;IDN;Indonesia;Sumatera Selatan;Musi Rawas;1-Fully Verified;
PO1000000317;SIME DARBY;ANEKA INTI PERSADA;TELUK SIAK;RSPO Certified;RSPO Certified, MB;13/01/2026;0.591389;101.658.889;0.591389, 101.658889;IDN;Indonesia;Riau;Siak;1-Fully Verified;
PO1000000318;SIME DARBY;BHUMIREKSA NUSA SEJATI;TELUK BAKAU;RSPO Certified;RSPO Certified, MB;13/01/2026;0.2565;103.588.833;0.2565, 103.588833;IDN;Indonesia;Riau;Indragiri Hilir;1-Fully Verified;
PO1000000319;SIME DARBY;BERSAMA SEJAHTERA SAKTI;GUNUNG ARU;RSPO Certified;RSPO Certified, IP, MB;13/01/2026;-3.494.722;116.166.667;-3.494722, 116.166667;IDN;Indonesia;Kalimantan Selatan;Kota Baru;1-Fully Verified;
PO1000000320;SIME DARBY;GUTHRIE PECCONINA INDONESIA;RANTAU PANJANG POM, PT GPI;RSPO Certified;RSPO Certified, MB;13/01/2026;-2.916.183;103.750.833;-2.916183, 103.750833;IDN;Indonesia;Sumatera Selatan;Musi Banyuasin;1-Fully Verified;
PO1000000321;SIME DARBY;INDOTRUBA TENGAH;SEKUNYIR;RSPO Certified;RSPO Certified, MB;13/01/2026;-2.444.722;112.006.667;-2.444722, 112.006667;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Barat;1-Fully Verified;
PO1000000322;SIME DARBY;KRIDATAMA LANCAR;SUKAMANDANG;RSPO Certified;RSPO Certified, IP;13/01/2026;-206.215;112.315.367;-2.06215, 112.315367;IDN;Indonesia;Kalimantan Tengah;Kotawaringin Timur;1-Fully Verified;
