company,mill_name,group_name,parent_company,country,latitude,longitude,rspo_status
wilmar,EYOP INDUSTRIES LTD,PZ WILMAR,EYOP INDUSTRIES LTD,Nigeria,5.11551667,8.569869,Not RSPO Certified
gar,UJUNG TANJUNG,SINAR MAS,IVO MAS TUNGGAL,Indonesia,0.969733,101.26075,RSPO Certified
gar,LIBO,SINAR MAS,IVO MAS TUNGGAL,Indonesia,0.928611,101.206389,RSPO Certified
gar,SAM-SAM,SINAR MAS,IVO MAS TUNGGAL,Indonesia,0.9375,101.3002,RSPO Certified
gar,SEKIJANG,SINAR MAS,BUANA WIRALESTARI MAS,Indonesia,0.833933,101.044283,RSPO Certified
gar,NAGA SAKTI,SINAR MAS,BUANA WIRALESTARI MAS,Indonesia,0.7827,101.049567,RSPO Certified
gar,RAMARAMA,SINAR MAS,RAMAJAYA PRAMUKTI,Indonesia,0.533494,101.076381,RSPO Certified
gar,BUMI PALMA,SINAR MAS,BUMIPALMA LESTARIPERSADA,Indonesia,-0.598056,102.983333,Not RSPO Certified
gar,INDRA SAKTI,SINAR MAS,MEGANUSA INTISAWIT,Indonesia,-0.5692,102.305851,RSPO Certified
gar,PADANG HALABAN,SINAR MAS,SINAR MAS AGRO RESOURCES AND TECHNOLOGY,Indonesia,2.319167,99.839444,RSPO Certified
gar,LANGGA PAYUNG PALM OIL MILL,SINAR MAS,TAPIAN NADENGGAN,Indonesia,1.654444,99.886944,RSPO Certified
gar,BATU AMPAR,SINAR MAS,SINAR MAS AGRO RESOURCES AND TECHNOLOGY,Indonesia,-3.1981,116.0219,RSPO Certified
gar,TANAH LAUR,SINAR MAS,SINAR MAS AGRO RESOURCES AND TECHNOLOGY,Indonesia,-3.790278,115.283056,RSPO Certified
gar,HANAU,SINAR MAS,TAPIAN NADENGGAN,Indonesia,-2.360861,112.109694,RSPO Certified
gar,SUNGAI RUNGAU,SINAR MAS,BINASAWIT ABADI PRATAMA,Indonesia,-2.3206,112.334,RSPO Certified
gar,SEMILAR,SINAR MAS,TAPIAN NADENGGAN,Indonesia,-2.248111,112.340417,RSPO Certified
gar,SUNGAI BUAYA,SINAR MAS,SUMBER INDAH PERKASA,Indonesia,-4.128611,105.438839,RSPO Certified
gar,SUNGAI MERAH,SINAR MAS,SUMBER INDAH PERKASA,Indonesia,-4.218444,105.588769,RSPO Certified
gar,JELATANG,SINAR MAS,KRESNA DUTA AGROINDO,Indonesia,-2.072222,102.485833,RSPO Certified
gar,LANGLING,SINAR MAS,KRESNA DUTA AGROINDO,Indonesia,-2.100833,102.374444,RSPO Certified
gar,MASKAPAI PERKEBUAN LEIDONG WEST,SINAR MAS,MASKAPAI PERKEBUNAN LEIDONG WEST INDONESIA,Indonesia,-1.901389,105.476389,RSPO Certified
gar,TANJUNG KEMBIRI,SINAR MAS,FORESTA LESTARI DWIKARYA,Indonesia,-3.0324871,107.770416,RSPO Certified
gar,BUMI SAWIT,SINAR MAS,BUMI SAWIT PERMAI,Indonesia,-3.5257,104.3443,RSPO Certified
gar,PANGKALAN PANJI,SINAR MAS,SAWIT MAS SEJAHTERA,Indonesia,-2.948531,104.466511,RSPO Certified
gar,MUARA KANDIS,SINAR MAS,DJUANDA SAWIT LESTARI,Indonesia,-2.900278,103.1775,RSPO Certified
gar,PEKAWAI,SINAR MAS,AGRO LESTARI MANDIRI,Indonesia,-1.521222,110.458915,RSPO Certified
gar,KENANGA PALM OIL MILL,GOLDEN AGRI RESOURCES ,KENCANA GRAHA PERMAI,Indonesia,-2.1404,110.5158,RSPO Certified
gar,SUNGAI BENGKAL,SINAR MAS,SATYA KISMA USAHA,Indonesia,-1.590556,102.61,RSPO Certified
gar,BUKIT PERAK,SINAR MAS,BUMI PERMAI LESTARI,Indonesia,-1.820147,105.5509042,RSPO Certified
gar,MUARA WAHAU,SINAR MAS,KRESNA DUTA AGROINDO,Indonesia,1.111161,117.023161,RSPO Certified
gar,JAK LUAY,SINAR MAS,TAPIAN NADENGGAN,Indonesia,0.950833,116.915,RSPO Certified
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,SINAR MAS,BINASAWIT ABADI PRATAMA,Indonesia,-2.422506,112.359586,Not RSPO Certified
gar,BATU KAPUR,SINAR MAS,SINAR MAS AGRO RESOURCES AND TECHNOLOGY,Indonesia,-2.942661,116.047451,Not RSPO Certified
gar,BELIAN,SINAR MAS,PARAMITRA INTERNUSA PRATAMA,Indonesia,0.487029,111.845392,RSPO Certified
gar,PERSADA GRAHA MANDIRI,SINAR MAS,PERSADA GRAHA MANDIRI,Indonesia,0.400721,111.730713,Not RSPO Certified
gar,SUNGAI KIKIM,SINAR MAS,SAWIT MAS SEJAHTERA,Indonesia,-3.633013,103.219098,RSPO Certified
gar,PELAKAR,SINAR MAS,KRESNA DUTA AGROINDO,Indonesia,-2.185278,102.642222,RSPO Certified
gar,SENAKIN,SINAR MAS,SINAR KENCANA INTI PERKASA,Indonesia,-2.807667,116.186301,Not RSPO Certified
gar,SUNGAI KUPANG,SINAR MAS,SINAR KENCANA INTI PERKASA,Indonesia,-3.053367,116.015417,RSPO Certified
gar,KUAYAN,SINAR MAS,AGROKARYA PRIMA LESTARI,Indonesia,-1.970503,112.370324,Not RSPO Certified
gar,TANGAR,SINAR MAS,MITRA KARYA AGRO INDO,Indonesia,-2.243602,112.299345,Not RSPO Certified
gar,KAPUASINDO PALM INDUSTRY,SINAR MAS,KAPUASINDO PALM INDUSTRY,Indonesia,1.019664,111.879215,Not RSPO Certified
gar,KASUARI,SINAR MAS,SINAR KENCANA INTI PERKASA,Indonesia,-2.973111,140.029917,RSPO Certified
gar,SUNGAI MAGALAU,UNKNOWN,GOLDEN AGRI RESOURCES,Indonesia,-2.78526,116.1714,Not RSPO Certified
gar,JALEMO,SINAR MAS,AGROLESTARI SENTOSA,Indonesia,-1.3482,113.5022,Not RSPO Certified
gar,SAWITA,SINAR MAS,SAWITA KARYA MANUNGGUL,Indonesia,-2.546639,116.140667,RSPO Certified
gar,SAKO,SINAR MAS,ADITUNGGAL MAHAJAYA,Indonesia,-2.0356,112.2387,Not RSPO Certified
gar,SUNGAI AIR JERNIH,SINAR MAS,BAHANA KARYA SEMESTA,Indonesia,-2.086512,102.801493,Not RSPO Certified
gar,RANTAU PANJANG,SINAR MAS,KRESNA DUTA AGROINDO,Indonesia,0.97045,116.828096,RSPO Certified
gar,GUNUNG KOMBENG,SINAR MAS,KRESNA DUTA AGROINDO,Indonesia,1.112055,117.02188,Not RSPO Certified
gar,BANGUNG NUSA MANDIRI KENARI,UNKNOWN,GOLDEN AGRI RESOURCES,Indonesia,-2.16516,110.92084,Not RSPO Certified
sdguthrie,BINUANG (SOU 28),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,4.704457,118.060186,RSPO Certified
sdguthrie,MEROTAI (SOU 30),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,4.369347,117.832905,RSPO Certified
sdguthrie,SANDAKAN BAY (SOU 26),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,5.641362,118.166868,RSPO Certified
sdguthrie,EAST (SOU 8),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.883333,101.436136,RSPO Certified
sdguthrie,TANAH MERAH (SOU 14),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.655278,101.792778,RSPO Certified
sdguthrie,SEGALIUD (SOU 25),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,5.726001,117.754574,Not RSPO Certified
sdguthrie,WEST (SOU 9),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.905,101.361306,RSPO Certified
sdguthrie,SUNGAI DINGIN (SOU 1),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,5.39432,100.71117,RSPO Certified
sdguthrie,YONG PENG (SOU 19A),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.058808,103.148394,Not RSPO Certified
sdguthrie,BUKIT KERAYONG (SOU 7),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,3.186861,101.374889,Not RSPO Certified
sdguthrie,JABOR (SOU 12),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,3.960833,103.308889,RSPO Certified
sdguthrie,TENNAMARAM (SOU 6),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,3.395639,101.417614,RSPO Certified
sdguthrie,GIRAM (SOU 29),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,4.586785,118.193914,RSPO Certified
sdguthrie,GUNUNG MAS (SOU 21),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.243544,103.137941,RSPO Certified
sdguthrie,DIAMOND JUBILEE (SOU 18),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.324247,102.482843,RSPO Certified
sdguthrie,NORDANAL (SOU 19),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.183333,102.733333,Not RSPO Certified
sdguthrie,CHAAH (SOU 20),SIME DARBY,SIME DARBY PLANTATION BHD,Malaysia,2.148725,102.973994,RSPO Certified
