claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"25% reduction in greenhouse gas emission 27% reduction 25% reduction
intensity by 2029/2030 (compared to 2018/19) achieved vs achieved vs
and net-zero emissions by 2050 (Scope 1 and FY2019 baseline FY2019 baseline
Environment
Scope 2)
4.",False,False,False,False,2030,hard,spec,0.876018226146698
"Overall, FY2025 reflects continued progress towards the FY2030 target of 0.21 mtCO eq/mt production volume
2
and the Group’s Net Zero 2050 ambition.",False,False,False,False,2025,hard,spec,0.9139479994773865
"By leveraging
palm biomass, biogas and solar potential, the Group
• Biomass Optimisation: Upkeep of biomass
can reduce Scope 1 and 2 emissions, stabilise energy
boilers to maximise energy efficiency and replace
costs, and reduce cost through renewable-energy
fossil fuels, with Palm Fibre and PKS used for
generation.",False,False,False,False,,soft,spec,0.640093982219696
"• Midstream & Downstream: Refineries, KCPs and
oleochemical plants reduce Scope 2 emissions
• Decarbonisation Roadmap: Net-zero by 2050,
by integrating rooftop solar panels, while pursuing
supported by interim milestones (25% Scope 1
electrification in locations where renewable
& 2 intensity reduction by 2029/30).",False,False,False,False,2050,hard,spec,0.8838353753089905
"The Group’s overall decarbonisation plan outlines how we intend to achieve our climate-related targets, including our
25% GHG emissions intensity reduction by 2029/30 (vs FY2019) and net zero by 2050.",False,False,False,False,2050,hard,spec,0.7855264544487
"a network of trained, traceable, and certified
smallholders who contribute to deforestation-free FY2024 FY2025
supply chains.",True,True,False,False,2025,hard,spec,0.5765383839607239
"In Ipoh (MBI) to adopt seven public parks under
Sabah, KLK collaborates with the Humana Child the Taman Rekreasi MADANI programme for a
Aid Society and Etania Schools to provide early period of two years.",False,False,False,False,,soft,spec,0.830808699131012
"In Indonesia, KLK operates estate-based schools in - In line with our goal to promote social inclusion,
partnership with the Indonesia Heritage Foundation KLK has also engaged a non-profit rehabilitation
and local education authorities, while in Liberia, free centre to carry out regular park maintenance
basic education is provided through our Palm Bay work.",False,False,False,False,,soft,spec,0.8470412492752075
