company,mill_name,country,loss_post2020_ha_csv,loss_post2020_ha_gee,loss_on_palm_ha,loss_on_industrial_ha,pct_loss_to_palm
wilmar,SABAHMAS,Malaysia,6675.041364981466,5625.788228287249,5295.870787640477,5086.890983475869,94.1
wilmar,SAREMAS 1,Malaysia,3218.9170937148733,2175.713654849256,1796.4841510232463,1780.9172886089073,82.6
wilmar,SAREMAS 2,Malaysia,4849.482374820462,3833.7018051963228,3577.2622439610604,3558.7892634468917,93.3
wilmar,TERUSAN,Malaysia,1352.2328613330494,1224.250758087022,657.4252819473253,606.99585321344,53.7
wilmar,SAPI,Malaysia,2049.496048776632,1376.32392946695,1279.7159978083243,1225.9845887354484,93.0
wilmar,REKA HALUS,Malaysia,2394.179103874066,1955.0169206310427,1559.7305329278113,1488.6838116514627,79.8
wilmar,MUSTIKA SEMBULUH 1,Indonesia,2236.5311185592245,904.4583986258975,457.2086689841222,431.12902838093976,50.6
wilmar,KERRY SAWIT INDONESIA 1,Indonesia,510.81045079695406,463.94268553379703,17.144738972187042,16.60896273702383,3.7
wilmar,RIBUBONUS,Malaysia,1308.8836405745442,1076.4361039974526,308.36235117608425,253.09990061819553,28.6
wilmar,SRI KAMUSAN,Malaysia,3019.406101897209,856.3586270192379,510.8854045280054,504.4857462876275,59.7
wilmar,PINANG AWAM,Indonesia,3977.560600486173,3428.203499394714,3153.7147412105815,1619.357531058554,92.0
wilmar,KENCANA SAWIT INDONESIA,Indonesia,9096.73681128851,7715.413410830435,6467.657243618983,6320.365992948706,83.8
wilmar,BURNAI TIMUR,Indonesia,2829.010822407336,1762.026167887362,949.1962500715956,913.0609361583696,53.9
wilmar,SARANA TITIAN PERMATA PKS 1,Indonesia,496.5165747309444,460.5110772609708,12.745130558428812,12.745130558428812,2.8
wilmar,AMP PLANTATION,Indonesia,1720.2564178301209,1487.1863014865157,367.8864198573081,100.6269405538545,24.7
wilmar,DABUK REJO,Indonesia,3856.074783389086,2451.122828576056,1696.2726893050117,1667.1104025370926,69.2
wilmar,BUMI SAWIT KENCANA,Indonesia,1023.004633164256,502.5481821299476,35.054593013022455,28.80132153758816,7.0
wilmar,BENSO OIL PALM PLANTATION OIL MILL,Ghana,4057.083171595489,3990.2271915526944,1575.7024961933494,1554.5968371629715,39.5
wilmar,DAYA LABUHAN INDAH 2,Indonesia,3266.7193877226355,2380.980974322792,1642.606791761985,1361.2815798574804,69.0
wilmar,GERSINDO MINANG PLANTATION,Indonesia,2994.256293552513,2196.5773818992516,725.2602726344384,240.56825213879347,33.0
wilmar,MENTAYA SAWIT MAS,Indonesia,1236.901495305768,853.7237992874839,29.748601257801056,23.67380889505148,3.5
wilmar,RIMBA HARAPAN SAKTI,Indonesia,494.6632008588944,452.24690943483057,12.801198903427405,12.711903754577918,2.8
wilmar,SUBURMAS,Malaysia,5803.043192437458,2581.7605661453545,2168.038432030262,2167.5922823532237,84.0
wilmar,KARUNIA KENCANA PERMAI SEJATI,Indonesia,1122.5529842564729,947.5079622560854,19.206158086657524,17.062200494110584,2.0
wilmar,SELABU,Indonesia,4077.349576629439,3855.120546245895,494.8089949050955,356.07223511487246,12.8
