company,mill_name,year,loss_ha
gar,KENANGA PALM OIL MILL,2024,623.3748
gar,KENANGA PALM OIL MILL,2025,275.5377
gar,SUNGAI BENGKAL,2021,544.9464
gar,SUNGAI BENGKAL,2022,808.2833
gar,SUNGAI BENGKAL,2023,907.882
gar,SUNGAI BENGKAL,2024,694.9595
gar,SUNGAI BENGKAL,2025,750.8887
gar,BUKIT PERAK,2021,1279.2209
gar,BUKIT PERAK,2022,2020.9297
gar,BUKIT PERAK,2023,2290.108
gar,BUKIT PERAK,2024,867.4323
gar,BUKIT PERAK,2025,968.4216
gar,MUARA WAHAU,2021,189.4202
gar,MUARA WAHAU,2022,210.0865
gar,MUARA WAHAU,2023,627.341
gar,MUARA WAHAU,2024,493.2215
gar,MUARA WAHAU,2025,2465.9772
gar,JAK LUAY,2021,201.6685
gar,JAK LUAY,2022,236.1626
gar,JAK LUAY,2023,449.0374
gar,JAK LUAY,2024,330.3078
gar,JAK LUAY,2025,461.2103
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,2021,73.1732
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,2022,114.8927
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,2023,102.0292
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,2024,96.2575
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,2025,804.4554
gar,BATU KAPUR,2021,435.8218
gar,BATU KAPUR,2022,711.5565
gar,BATU KAPUR,2023,1260.7158
gar,BATU KAPUR,2024,1078.8397
gar,BATU KAPUR,2025,1476.7157
gar,BELIAN,2021,62.6048
gar,BELIAN,2022,148.5699
gar,BELIAN,2023,173.9753
gar,BELIAN,2024,129.1375
gar,BELIAN,2025,89.0728
gar,PERSADA GRAHA MANDIRI,2021,138.4232
gar,PERSADA GRAHA MANDIRI,2022,221.4689
gar,PERSADA GRAHA MANDIRI,2023,309.788
gar,PERSADA GRAHA MANDIRI,2024,170.7037
gar,PERSADA GRAHA MANDIRI,2025,133.7263
gar,SUNGAI KIKIM,2021,401.2175
gar,SUNGAI KIKIM,2022,917.7223
gar,SUNGAI KIKIM,2023,1466.7893
gar,SUNGAI KIKIM,2024,639.0101
gar,SUNGAI KIKIM,2025,525.5378
gar,PELAKAR,2021,709.483
gar,PELAKAR,2022,1014.567
gar,PELAKAR,2023,2509.548
gar,PELAKAR,2024,2034.0229
gar,PELAKAR,2025,1170.3219
gar,SENAKIN,2021,146.3393
gar,SENAKIN,2022,96.5577
gar,SENAKIN,2023,448.8955
gar,SENAKIN,2024,172.068
gar,SENAKIN,2025,512.8355
gar,SUNGAI KUPANG,2021,744.8572
gar,SUNGAI KUPANG,2022,231.315
gar,SUNGAI KUPANG,2023,830.7953
gar,SUNGAI KUPANG,2024,1045.0415
gar,SUNGAI KUPANG,2025,2060.091
gar,KUAYAN,2021,131.7063
gar,KUAYAN,2022,43.5282
gar,KUAYAN,2023,266.1994
gar,KUAYAN,2024,102.7475
gar,KUAYAN,2025,393.7724
gar,TANGAR,2021,82.539
gar,TANGAR,2022,24.1402
gar,TANGAR,2023,174.8711
gar,TANGAR,2024,960.7946
gar,TANGAR,2025,1397.3533
gar,KAPUASINDO PALM INDUSTRY,2021,345.6757
gar,KAPUASINDO PALM INDUSTRY,2022,212.1043
gar,KAPUASINDO PALM INDUSTRY,2023,266.8841
gar,KAPUASINDO PALM INDUSTRY,2024,217.971
gar,KAPUASINDO PALM INDUSTRY,2025,215.7579
gar,KASUARI,2021,705.4078
gar,KASUARI,2022,1680.2722
gar,KASUARI,2023,1689.4382
gar,KASUARI,2024,703.17
gar,KASUARI,2025,41.611
gar,SUNGAI MAGALAU,2021,126.0706
gar,SUNGAI MAGALAU,2022,99.7679
gar,SUNGAI MAGALAU,2023,466.4822
gar,SUNGAI MAGALAU,2024,265.3667
gar,SUNGAI MAGALAU,2025,852.3407
gar,JALEMO,2021,112.7132
gar,JALEMO,2022,146.2731
gar,JALEMO,2023,556.1498
gar,JALEMO,2024,600.3439
gar,JALEMO,2025,317.306
gar,SAWITA,2021,527.8907
gar,SAWITA,2022,799.4461
gar,SAWITA,2023,1257.3571
gar,SAWITA,2024,765.5412
gar,SAWITA,2025,248.6591
gar,SAKO,2021,121.5591
gar,SAKO,2022,243.285
gar,SAKO,2023,556.5078
gar,SAKO,2024,245.7077
gar,SAKO,2025,437.2181
gar,SUNGAI AIR JERNIH,2021,239.1654
gar,SUNGAI AIR JERNIH,2022,430.6963
gar,SUNGAI AIR JERNIH,2023,1036.0399
gar,SUNGAI AIR JERNIH,2024,771.8548
gar,SUNGAI AIR JERNIH,2025,643.9847
gar,RANTAU PANJANG,2021,112.903
gar,RANTAU PANJANG,2022,114.6406
gar,RANTAU PANJANG,2023,314.3763
gar,RANTAU PANJANG,2024,245.6427
gar,RANTAU PANJANG,2025,413.4011
gar,GUNUNG KOMBENG,2021,186.4601
gar,GUNUNG KOMBENG,2022,198.3608
gar,GUNUNG KOMBENG,2023,590.1934
gar,GUNUNG KOMBENG,2024,457.2641
gar,GUNUNG KOMBENG,2025,2448.8282
gar,BANGUNG NUSA MANDIRI KENARI,2021,177.0267
gar,BANGUNG NUSA MANDIRI KENARI,2022,297.7336
gar,BANGUNG NUSA MANDIRI KENARI,2023,731.5172
gar,BANGUNG NUSA MANDIRI KENARI,2024,861.3706
gar,BANGUNG NUSA MANDIRI KENARI,2025,584.6766
sdguthrie,BINUANG (SOU 28),2021,609.4875
sdguthrie,BINUANG (SOU 28),2022,1020.8204
sdguthrie,BINUANG (SOU 28),2023,1005.394
sdguthrie,BINUANG (SOU 28),2024,353.671
sdguthrie,BINUANG (SOU 28),2025,138.7752
sdguthrie,MEROTAI (SOU 30),2021,891.026
sdguthrie,MEROTAI (SOU 30),2022,967.1162
sdguthrie,MEROTAI (SOU 30),2023,1112.2492
sdguthrie,MEROTAI (SOU 30),2024,1343.036
sdguthrie,MEROTAI (SOU 30),2025,1029.5463
sdguthrie,SANDAKAN BAY (SOU 26),2021,1023.2455
sdguthrie,SANDAKAN BAY (SOU 26),2022,766.7359
sdguthrie,SANDAKAN BAY (SOU 26),2023,689.3756
sdguthrie,SANDAKAN BAY (SOU 26),2024,606.0203
sdguthrie,SANDAKAN BAY (SOU 26),2025,209.9368
sdguthrie,EAST (SOU 8),2021,582.4076
sdguthrie,EAST (SOU 8),2022,363.6957
sdguthrie,EAST (SOU 8),2023,437.3033
sdguthrie,EAST (SOU 8),2024,350.0067
sdguthrie,EAST (SOU 8),2025,287.9168
sdguthrie,TANAH MERAH (SOU 14),2021,460.0089
sdguthrie,TANAH MERAH (SOU 14),2022,458.7801
sdguthrie,TANAH MERAH (SOU 14),2023,455.939
sdguthrie,TANAH MERAH (SOU 14),2024,552.9104
sdguthrie,TANAH MERAH (SOU 14),2025,685.9319
sdguthrie,SEGALIUD (SOU 25),2021,1155.7806
sdguthrie,SEGALIUD (SOU 25),2022,288.2339
sdguthrie,SEGALIUD (SOU 25),2023,760.755
sdguthrie,SEGALIUD (SOU 25),2024,1092.7392
sdguthrie,SEGALIUD (SOU 25),2025,623.55
sdguthrie,WEST (SOU 9),2021,475.4223
sdguthrie,WEST (SOU 9),2022,331.4918
sdguthrie,WEST (SOU 9),2023,448.9961
sdguthrie,WEST (SOU 9),2024,293.097
sdguthrie,WEST (SOU 9),2025,220.3079
sdguthrie,SUNGAI DINGIN (SOU 1),2021,578.8749
sdguthrie,SUNGAI DINGIN (SOU 1),2022,524.7028
sdguthrie,SUNGAI DINGIN (SOU 1),2023,634.1776
sdguthrie,SUNGAI DINGIN (SOU 1),2024,520.1232
sdguthrie,SUNGAI DINGIN (SOU 1),2025,703.2343
sdguthrie,YONG PENG (SOU 19A),2021,664.6817
sdguthrie,YONG PENG (SOU 19A),2022,642.7926
sdguthrie,YONG PENG (SOU 19A),2023,1316.4468
sdguthrie,YONG PENG (SOU 19A),2024,829.3981
sdguthrie,YONG PENG (SOU 19A),2025,773.0523
sdguthrie,BUKIT KERAYONG (SOU 7),2021,454.0044
sdguthrie,BUKIT KERAYONG (SOU 7),2022,355.473
sdguthrie,BUKIT KERAYONG (SOU 7),2023,614.5734
sdguthrie,BUKIT KERAYONG (SOU 7),2024,343.3937
sdguthrie,BUKIT KERAYONG (SOU 7),2025,433.1753
sdguthrie,JABOR (SOU 12),2021,668.351
sdguthrie,JABOR (SOU 12),2022,1019.7107
sdguthrie,JABOR (SOU 12),2023,572.5751
sdguthrie,JABOR (SOU 12),2024,512.212
sdguthrie,JABOR (SOU 12),2025,254.1383
sdguthrie,TENNAMARAM (SOU 6),2021,381.0977
sdguthrie,TENNAMARAM (SOU 6),2022,245.7601
sdguthrie,TENNAMARAM (SOU 6),2023,285.7898
sdguthrie,TENNAMARAM (SOU 6),2024,431.2491
sdguthrie,TENNAMARAM (SOU 6),2025,470.5546
sdguthrie,GIRAM (SOU 29),2021,1549.0579
sdguthrie,GIRAM (SOU 29),2022,1002.7126
sdguthrie,GIRAM (SOU 29),2023,1648.5752
sdguthrie,GIRAM (SOU 29),2024,1476.3821
sdguthrie,GIRAM (SOU 29),2025,2097.9018
sdguthrie,GUNUNG MAS (SOU 21),2021,829.5966
sdguthrie,GUNUNG MAS (SOU 21),2022,1144.5814
sdguthrie,GUNUNG MAS (SOU 21),2023,1309.7146
sdguthrie,GUNUNG MAS (SOU 21),2024,1158.8735
sdguthrie,GUNUNG MAS (SOU 21),2025,1101.0144
sdguthrie,DIAMOND JUBILEE (SOU 18),2021,569.1609
sdguthrie,DIAMOND JUBILEE (SOU 18),2022,524.5373
sdguthrie,DIAMOND JUBILEE (SOU 18),2023,653.2406
sdguthrie,DIAMOND JUBILEE (SOU 18),2024,511.0399
sdguthrie,DIAMOND JUBILEE (SOU 18),2025,738.7975
sdguthrie,NORDANAL (SOU 19),2021,470.3774
sdguthrie,NORDANAL (SOU 19),2022,463.4961
sdguthrie,NORDANAL (SOU 19),2023,720.6905
sdguthrie,NORDANAL (SOU 19),2024,771.2652
sdguthrie,NORDANAL (SOU 19),2025,516.3458
