company,claim
sdguthrie,"Projects, objectives,
Regulation (EUDR) • Set up EUDR-compliant
and plans under our “Beyond Zero” Framework were
supply chain and delivered
streamlined to address climate challenges."
sdguthrie,"Ongoing key
40,250 metric tonnes (MT) of
initiatives include fertiliser-use efficiency, zero liquid discharge
EUDR-compliant palm oil to
technology, soil health enhancement, climate modelling, and
Europe and the United
the development of climate-tolerant palm varieties."
sdguthrie,"we implement best-in-class carbon reduction strategies,
In Europe, the EU Renewable Energy Directive (RED) and reinforcing our commitment to environmental responsibility
national sustainability policies have positioned the region as a and innovation."
sdguthrie,"key market for low-carbon palm oil, with businesses increasingly
integrating climate action into procurement strategies."
sdguthrie,"Over 70% of our refineries now produce oils with lower carbon
emissions than the industry benchmark1."
sdguthrie,"We achieved this
As an industry leader, SD Guthrie International plays a through progress in deforestation-free sourcing, sustainable
pivotal role in this transition by supplying high-quality, land use and biogas adoption."
sdguthrie,of low-carbon measures.
sdguthrie,"is based on NGFS net-zero scenario, with carbon pricing The Group integrates climate risks and opportunities into our business strategies, reflected in our approach to land use, conservation,
projected at USD141.39/tCO 2 e (for short term) and supply chain management, and renewable energy."
sdguthrie,"Since FY2023, we have strengthened our business
apply to the Group’s 2030 and 2050 residual Scope 1 decision-making processes by incorporating climate assessments."
sdguthrie,"We have
and Agriculture (FLAG), and Energy and Industrial categories implemented a proactive, ongoing process to identify, evaluate, and manage significant climate-related risks and opportunities."
sdguthrie,"‒ after implementing reduction strategies aligned with our These risks and opportunities are fully embedded within SD Guthrie’s Group Risk Management Framework, where they are
Net-Zero Roadmap."
sdguthrie,"These KPIs track the implementation of climate-related initiatives in estates and mills, and energy
Climate Adaptation Strategies consumption reduction across downstream operations."
sdguthrie,"With 67% of our net emissions reduced our Scope 1 FLAG net emissions by 24% compared
2
attributed to Scope 3 emissions from our supply chain, we continue to strengthen our supply chain engagement efforts to address to FY2020, driven by our NDPE policy, reduction in peat areas,
and reduce these emissions in collaboration with our suppliers."
sdguthrie,"Additionally, we lowered our
Scope 1 Energy and Industrial emissions by 24%, due to
an increase in biogas capture plants, from nine in 2020 to
19 in 2024."
sdguthrie,"• Enhancing Scope 3 emission reductions through supplier
Scope 1 (31%) Scope 2 (2%) Scope 3 (62%) Others (5%)
engagement, regenerative agriculture, and nature-based
solutions."
sdguthrie,"GHG Emissions Intensities Unit FY2023 FY2024 SD Guthrie also engaged with suppliers on climate action
through the CDP Supply Chain Programme, direct
GHG Emissions (Net of Removal) tCO 2 e/MT of refined products 2.711 2.572 engagements, and capability building sessions to align
Intensity of Refineries suppliers’ commitments with our net-zero targets, and
enhance suppliers’ understanding of SBTi."
sdguthrie,and compliance with our deforestation-free commitments.
sdguthrie,"Heavy emphasis is placed
human rights, including the rights of local communities, indigenous on due diligence to ensure that they adhere to ethical recruitment
Our NDPE commitment is integral to achieving net-zero emissions and ensuring sustainable palm oil production."
sdguthrie,"While supporting our “Beyond practices and processes, and we do so through intensive
stringent NDPE standards, we protect forests, conserve peatlands, and promote ethical practices across our supply chain."
sdguthrie,"SD GUTHRIE’S APPROACH PROGRESS ON NO DEFORESTATION COMMITMENTS and aligns with ambitious voluntary frameworks including the Our core principle of zero-cost recruitment means that we bear
AT MILL LEVEL ILO and Roundtable on Sustainable Palm Oil (RSPO) on
Our NDPE commitment is enshrined in our Responsible all recruitment costs when it comes to securing jobs for our
human and labour rights."
sdguthrie,"significant milestone by delivering its first shipment of
delivering on No Deforestation commitments, an improvement
40,250 metric tonnes (MT) of EUDR-compliant palm oil to
from 73% in 2023."
sdguthrie,"of 24,250 MT arrived at SD Guthrie International’s Zwijndrecht With the aim to provide equal opportunities for all and to 6,350 7,300
To fulfil our commitment in having a fully traceable and Refinery in the Netherlands, followed by a second shipment maintain a zero-tolerance stance on discrimination, we have
deforestation-free supply chain, we plan to intensify supplier of 16,000 MT to the Liverpool Refinery in the UK."
sdguthrie,"safeguard sensitive ecosystems and prevent carbon release
and performed deforestation-free assessments of all plantations
from peat soils."
sdguthrie,"Collaborative efforts with industry compliance with national legislation, International Labour • To address issues of concern to create a safe working and reinforcing our commitment to emission reduction across our
stakeholders promote advancements in NDPE implementation and Organization (ILO) standards, and respect for native customary living environment within the operating units."
sdguthrie,"NDPE-IRF framework, enabling us to implement our Looking ahead, we are further strengthening our commitment
comprehensive action plans and initiatives across our entire to realise a transparent and sustainable supply chain."
sdguthrie,"We plan
Some of the activities conducted in the year include a gender To support this transition, we will continue to provide targeted
supply chain at both the mill and production levels."
sdguthrie,oil production and promote a deforestation-free supply chain.
sdguthrie,Tackling this issue requires proactive community engagement to raise awareness about the risks of in line with our 5 km radius zero-burning commitment.
sdguthrie,"Pioneered by SD Guthrie in 1985 and now an industry • Penghargaan Desa Bebas Api ‒ a programme that Illegal burning by communities 17
benchmark for sustainable agriculture, this technique encouraged to adopt zero-burning practices."
sdguthrie,"These sessions
align suppliers with our RSG and NDPE commitments, offering Progress
SD Guthrie is committed to upholding ethical and sustainable standards in the palm oil industry."
sdguthrie,"Our
responsible sourcing, traceability, and supplier engagement ‒ ensuring that our supply chain actively addresses environmental training programme emphasises capacity building, traceability Traceability to Mills
and social challenges, drives ethical labour practices, and supports smallholder inclusion."
sdguthrie,"– SD Guthrie-owned mills 100%
We partner our suppliers to improve their operational practices,
meet global sustainability standards, and tackle challenges like – Third-party direct mills/suppliers 100%
deforestation and human rights abuses."
sdguthrie,"Traceability to Plantation
Deforestation-Free Sourcing in Coconut Production
• Overall Traceability to Plantations (TTP) 84.9%
SD Guthrie International conducted a comprehensive
assessment of coconut plantations in Papua New Guinea, – SD Guthrie-owned mills 100%
enhancing supply chain transparency and sustainability."
sdguthrie,"It
enables full traceability and transparency, verifying that coconut
supplies originate only from existing plantations and ensuring Supplier Compliance to RSG
zero contribution to deforestation or land clearing."
sdguthrie,This pilot shipment is fully traceable and verified to meet stringent deforestation-free standards.
sdguthrie,"At SD Guthrie, we are dedicated to delivering a responsible and At SD Guthrie International’s Pulau Laut refinery in
Enhancing Traceability in the Palm Oil Industry
sustainable supply chain."
sdguthrie,"by enabling traceability of raw materials throughout our palm related to our No Deforestation, No Peat, and No Exploitation • SD Guthrie International directly sources from 13,665 hectares
This thorough screening ensures that both existing and
oil supply chain."
sdguthrie,"These assessments guide our
changes within oil palm concessions and assess impacts on High unchanged for decades, thus validating the deforestation-free purchasing decisions for the Pulau Laut refinery in line
Commitment to Responsible Sourcing Carbon Stock (HCS) and High Conservation Value (HCV) areas."
sdguthrie,"practices, and collaborating with stakeholders to drive Our commitment to product quality and safety is embedded across We proactively eliminate contaminants throughout the production
Medium risk suppliers have either resolved grievances or meaningful progress across the palm oil industry."
sdguthrie,"into certified food safe facilities, while enhancing mill safety
periods and adhere to ethical sourcing and sustainability
50% and operational efficiency in line with international food
standards."
sdguthrie,"For our upstream mills,
‘Working with Suppliers to Draw the Line on Deforestation’
Control Points (HACCP) training to reinforce certification 55 out of 65 mills are HACCP certified (85%)."
sdguthrie,"one facility
FY2022 FY2023 FY2024 Specific to our Indonesian subsidiary, we continued to host the requirements for all certified sustainable palm oil
Sustainability Monthly Event, engaging over 400 employees (CSPO) sales."
sdguthrie,"• Proactively mitigating risks related to harmful contaminants
Most of these cases pertained to indirect suppliers who provide SD Guthrie is dedicated to enhancing supply chain • Maintaining low MOSH and MOAH levels of below
goods to SD Guthrie through traders."
