task,model,accuracy,precision,recall,f1,n
claim detection,environmental-claims model,0.973,1.0,0.962,0.981,150
claim detection,keyword filter (baseline),0.707,0.707,1.0,0.828,150
specificity,climate-specificity model,0.559,0.547,0.609,0.519,102
specificity,number/date/% rule (baseline),0.613,0.339,0.57,0.418,106
sentiment,FinBERT,0.843,0.425,0.415,0.42,102
sentiment,climate-sentiment,0.529,0.344,0.344,0.29,102
ESG topic,ESG-BERT (E/S/G),0.802,0.479,0.541,0.492,106
ESG topic,keyword tags (baseline),0.189,0.381,0.107,0.167,106
