company,mill_name,lat,lon,spearman_rho,spearman_p,precision,recall,iou,n_tiles
gar,SUNGAI MERAH,-4.218444,105.588769,0.192,0.0,0.185,0.506,0.157,1681
gar,JELATANG,-2.072222,102.485833,-0.003,0.91365,0.1,0.157,0.065,1681
gar,LANGLING,-2.100833,102.374444,0.068,0.0052,0.157,0.234,0.104,1681
gar,MASKAPAI PERKEBUAN LEIDONG WEST,-1.901389,105.476389,0.239,0.0,0.351,0.293,0.19,1681
gar,TANJUNG KEMBIRI,-3.0324871,107.770416,0.188,0.0,0.034,0.209,0.03,1681
gar,BUMI SAWIT,-3.5257,104.3443,0.305,0.0,0.143,0.321,0.11,1681
gar,PANGKALAN PANJI,-2.948531,104.466511,0.079,0.00117,0.048,0.191,0.04,1681
gar,MUARA KANDIS,-2.900278,103.1775,0.335,0.0,0.275,0.373,0.188,1681
gar,PEKAWAI,-1.521222,110.458915,0.008,0.7461,0.027,0.186,0.024,1681
gar,KENANGA PALM OIL MILL,-2.1404,110.5158,0.138,0.0,0.086,0.331,0.074,1681
gar,SUNGAI BENGKAL,-1.590556,102.61,0.033,0.17636,0.104,0.197,0.073,1681
gar,BUKIT PERAK,-1.820147,105.5509042,0.022,0.35864,0.212,0.19,0.111,1681
gar,MUARA WAHAU,1.111161,117.023161,0.295,0.0,0.193,0.411,0.151,1681
gar,JAK LUAY,0.950833,116.915,0.347,0.0,0.113,0.434,0.098,1681
gar,PT BINASAWIT ABADI PRATAMA - PERDANA MILL,-2.422506,112.359586,0.225,0.0,0.052,0.379,0.048,1681
gar,BATU KAPUR,-2.942661,116.047451,0.185,0.0,0.096,0.202,0.07,1681
gar,BELIAN,0.487029,111.845392,0.068,0.00561,0.026,0.265,0.024,1681
gar,PERSADA GRAHA MANDIRI,0.400721,111.730713,0.051,0.03675,0.034,0.242,0.031,1681
gar,SUNGAI KIKIM,-3.633013,103.219098,0.106,1e-05,0.195,0.341,0.142,1681
gar,PELAKAR,-2.185278,102.642222,0.308,0.0,0.28,0.306,0.171,1681
gar,SENAKIN,-2.807667,116.186301,0.154,0.0,0.038,0.253,0.034,1681
gar,SUNGAI KUPANG,-3.053367,116.015417,0.124,0.0,0.107,0.246,0.081,1681
gar,KUAYAN,-1.970503,112.370324,0.144,0.0,0.022,0.289,0.021,1681
gar,TANGAR,-2.243602,112.299345,0.308,0.0,0.076,0.577,0.072,1681
gar,KAPUASINDO PALM INDUSTRY,1.019664,111.879215,0.002,0.92402,0.021,0.153,0.019,1681
gar,KASUARI,-2.973111,140.029917,-0.146,0.0,0.044,0.091,0.031,1681
gar,SUNGAI MAGALAU,-2.78526,116.1714,0.101,3e-05,0.044,0.252,0.039,1681
gar,JALEMO,-1.3482,113.5022,0.341,0.0,0.112,0.402,0.096,1681
gar,SAWITA,-2.546639,116.140667,0.184,0.0,0.118,0.267,0.089,1681
gar,SAKO,-2.0356,112.2387,0.16,0.0,0.051,0.265,0.045,1681
gar,SUNGAI AIR JERNIH,-2.086512,102.801493,0.07,0.00417,0.105,0.219,0.076,1681
gar,RANTAU PANJANG,0.97045,116.828096,0.377,0.0,0.083,0.426,0.075,1681
gar,GUNUNG KOMBENG,1.112055,117.02188,0.308,0.0,0.19,0.417,0.15,1681
gar,BANGUNG NUSA MANDIRI KENARI,-2.16516,110.92084,0.201,0.0,0.134,0.324,0.104,1681
