claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"32 GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
3
Sourcing
Responsibly
In This Chapter
Our Supply Chain
Transformation 34
Beyond Traceability: Unlocking Real Impact 36
Upholding NDPE Commitments 40
Ethical Sourcing Practices 46
Strengthening Smallholder Capabilities 48
Sourcing 33
Responsibly GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
Our Supply Chain
Transformation
Since adopting the GAR Social and Environmental Traceability to Plantation
Policy (GSEP) in 2015, we have built one of the
industry’s most comprehensive responsible sourcing In 2025, we achieved 99.8% traceability to plantation.",False,True,True,False,2025,soft,spec,0.5440251231193542
"TTP also enables us to 99.8%
TTP Indonesian
build deforestation-free supply in compliance with No
Palm Supply Traceability
Deforestation, No Peat, and No Exploitation (NDPE) at
Chain
the point of origin.",True,True,True,True,,hard,spec,0.6416710019111633
"Since 2014, total Deforestation, Peat Management, Fire,
productivity gains across our operations have been achieved through GHG Emissions, Waste Management.",True,False,False,True,,soft,spec,0.6206284761428833
"In 2025, all
we have ceased new development in our main estates, downstream and 34 upstream mills and
shifting focus toward yield improvement and reinforcing one estate achieved PROPER blue rating,
our zero-deforestation commitment.",True,False,False,False,2025,hard,spec,0.8808456659317017
"Peat Planted
Peat Non-Planted
Rewetting Revegetation Revitalisation
We are maintaining water levels to enhance carbon storage.",False,False,False,True,,soft,spec,0.5699872374534607
"Together, we rehabilitated 2,003
hectares of peatland to help reduce carbon emissions
and conserve critical peatland ecosystems.",False,False,False,True,,soft,spec,0.7614807486534119
"initiatives include recyclable mono-material
margarine tubs brown kraft paper for margarine
Sourcing and Traceability and shortening packaging.",False,True,False,False,,soft,spec,0.5472033619880676
